phylo,species,Plots,Block,NP,NAR,Cvalue,Biomass,presence
Achnatherum_sibiricum,Achnatherum_sibiricum,111,1,1,5,3.79,0,0
Achnatherum_sibiricum,Achnatherum_sibiricum,112,1,2,3,3.79,8.48,0.67
Achnatherum_sibiricum,Achnatherum_sibiricum,113,1,2,6,3.79,22.5,0.67
Achnatherum_sibiricum,Achnatherum_sibiricum,114,1,0,2,3.79,0.12,0.67
Achnatherum_sibiricum,Achnatherum_sibiricum,115,1,0,0,3.79,8.74,0.67
Achnatherum_sibiricum,Achnatherum_sibiricum,116,1,1,6,3.79,7.18,1
Achnatherum_sibiricum,Achnatherum_sibiricum,117,1,1,7,3.79,0.28,0.33
Achnatherum_sibiricum,Achnatherum_sibiricum,121,1,2,4,3.79,30.67,1
Achnatherum_sibiricum,Achnatherum_sibiricum,122,1,1,5,3.79,11.34,1
Achnatherum_sibiricum,Achnatherum_sibiricum,123,1,2,5,3.79,9.05,0.67
Achnatherum_sibiricum,Achnatherum_sibiricum,124,1,0,2,3.79,3.84,1
Achnatherum_sibiricum,Achnatherum_sibiricum,125,1,2,7,3.79,2.65,0.33
Achnatherum_sibiricum,Achnatherum_sibiricum,126,1,2,2,3.79,8.35,0.33
Achnatherum_sibiricum,Achnatherum_sibiricum,127,1,1,4,3.79,3.99,0.33
Achnatherum_sibiricum,Achnatherum_sibiricum,131,1,2,6,3.79,14.86,0.67
Achnatherum_sibiricum,Achnatherum_sibiricum,132,1,0,0,3.79,1.03,0.33
Achnatherum_sibiricum,Achnatherum_sibiricum,133,1,0,3,3.79,1.59,0.33
Achnatherum_sibiricum,Achnatherum_sibiricum,134,1,2,7,3.79,0,0
Achnatherum_sibiricum,Achnatherum_sibiricum,135,1,2,8,3.79,0,0
Achnatherum_sibiricum,Achnatherum_sibiricum,136,1,0,4,3.79,0.27,0.33
Achnatherum_sibiricum,Achnatherum_sibiricum,137,1,0,3,3.79,1.12,0.33
Achnatherum_sibiricum,Achnatherum_sibiricum,211,2,1,7,3.79,39.19,1
Achnatherum_sibiricum,Achnatherum_sibiricum,212,2,0,2,3.79,0.74,0.33
Achnatherum_sibiricum,Achnatherum_sibiricum,213,2,0,3,3.79,0,0
Achnatherum_sibiricum,Achnatherum_sibiricum,214,2,2,5,3.79,6.7,0.67
Achnatherum_sibiricum,Achnatherum_sibiricum,215,2,2,8,3.79,15.11,1
Achnatherum_sibiricum,Achnatherum_sibiricum,216,2,0,0,3.79,1.62,0.67
Achnatherum_sibiricum,Achnatherum_sibiricum,217,2,1,5,3.79,8.48,1
Achnatherum_sibiricum,Achnatherum_sibiricum,221,2,1,4,3.79,13.06,1
Achnatherum_sibiricum,Achnatherum_sibiricum,222,2,2,7,3.79,6.92,0.67
Achnatherum_sibiricum,Achnatherum_sibiricum,223,2,1,5,3.79,0,0
Achnatherum_sibiricum,Achnatherum_sibiricum,224,2,1,6,3.79,2.04,0.67
Achnatherum_sibiricum,Achnatherum_sibiricum,225,2,2,4,3.79,1,0.67
