NAR,Block,Treat,Richness,ANPP,LA5,LR5,SA5,SR5,PAR,np,NP,NR
5,1,1,19,260.41,190.2333333,4.333333333,70.18,14.66666667,26.419,N1P0,1,4
3,1,3,17,309.02,218.9333333,2.666666667,90.09,13.66666667,15.1818,N1P1,2,1
6,1,3,11,318.96,224.06,1.333333333,94.89666667,9.666666667,13.7427,N1P1,2,4
2,1,2,20,161.42,77.87666667,2.666666667,83.54333333,17,47.046,N0P0,0,2
0,1,1,14,173.33,115.38,2.333333333,61.19,11.66666667,25.9229,N0P0,0,0
6,1,1,14,255.66,138.8333333,1.666666667,113.5866667,11.33333333,27.4132,N1P0,1,5
7,1,1,12,266.81,216.6166667,2.666666667,50.19,9.333333333,18.9206,N1P0,1,6
4,1,2,18,357.75,233.69,2.666666667,124.06,15,13.0528,N1P1,2,2
5,1,2,15,314.78,221.6066667,1.666666667,93.17666667,12.66666667,19.9487,N1P0,1,4
5,1,3,16,337.67,258.9933333,3,78.68,13,10.4194,N1P1,2,3
2,1,1,22,185.88,84.19,3,101.69,18.33333333,42.6126,N0P0,0,2
7,1,3,11,311.39,217.07,2.333333333,94.32,8.333333333,13.0683,N1P1,2,5
2,1,3,13,283.45,217.8866667,3,65.56,10,18.3098,N1P1,2,0
4,1,3,15,274.09,163.1933333,2.333333333,112.6333333,12.33333333,22.6727,N1P0,1,3
6,1,2,13,307.36,202.9166667,3,102.7066667,9.333333333,15.0281,N1P1,2,4
0,1,2,17,184.38,102.42,2.333333333,82.13333333,15,43.8677,N0P0,0,0
3,1,2,19,176.47,101.4766667,3.666666667,74.82,14.66666667,41.537,N0P0,0,3
7,1,2,11,319.68,284.3266667,2.333333333,36.41666667,8.333333333,10.499,N1P1,2,5
8,1,3,13,309.03,210.5233333,2.333333333,97.64,10.66666667,10.9431,N1P1,2,6
4,1,1,18,219.8,120.2333333,3.333333333,99.37666667,14.33333333,30.2156,N0P0,0,4
3,1,1,21,168.57,90.59666667,4.333333333,77.97666667,16.33333333,51.3967,N0P0,0,3
